date,flight_number,destination,scheduled_departure,actual_departure,delayed
2025-03-27,F91482,MCO,2025-03-27 21:59:00 CDT,2025-03-27 22:09:10 CDT,False
2025-03-27,AA3898,BNA,2025-03-27 21:59:00 CDT,2025-03-27 22:08:15 CDT,False
2025-03-27,AA3097,SAT,2025-03-27 21:55:00 CDT,2025-03-27 22:27:11 CDT,True
2025-03-27,F94069,DEN,2025-03-27 21:54:00 CDT,2025-03-27 22:06:10 CDT,False
2025-03-27,AA3943,XNA,2025-03-27 21:53:00 CDT,2025-03-27 22:13:22 CDT,True
2025-03-27,AA5449,JAN,2025-03-27 21:52:00 CDT,2025-03-27 22:10:59 CDT,True
2025-03-27,AA2019,MEM,2025-03-27 21:50:00 CDT,2025-03-27 22:32:11 CDT,True
2025-03-27,AA4273,ICT,2025-03-27 21:49:00 CDT,2025-03-27 22:04:37 CDT,True
2025-03-27,AA3594,MHK,2025-03-27 21:49:00 CDT,2025-03-27 22:02:39 CDT,False
2025-03-27,AA1865,IAH,2025-03-27 21:48:00 CDT,2025-03-27 22:40:47 CDT,True
2025-03-27,AA2227,AUS,2025-03-27 21:45:00 CDT,2025-03-27 22:02:08 CDT,True
2025-03-27,5X773,SDF,2025-03-27 21:40:00 CDT,2025-03-27 22:01:29 CDT,True
2025-03-27,AA4989,LFT,2025-03-27 21:38:00 CDT,2025-03-27 21:53:55 CDT,True
2025-03-27,K4938,ANC,2025-03-27 21:35:00 CDT,2025-03-27 21:48:12 CDT,False
2025-03-27,TK192,IST,2025-03-27 21:35:00 CDT,2025-03-27 22:03:55 CDT,True
2025-03-27,AA6306,AEX,2025-03-27 21:35:00 CDT,2025-03-27 21:52:27 CDT,True
2025-03-27,AA3388,AMA,2025-03-27 21:35:00 CDT,2025-03-27 21:55:37 CDT,True
2025-03-27,AA357,LBB,2025-03-27 21:32:00 CDT,2025-03-27 22:24:17 CDT,True
2025-03-27,AA4961,SWO,2025-03-27 21:31:00 CDT,2025-03-27 21:54:35 CDT,True
2025-03-27,5X761,ONT,2025-03-27 21:30:00 CDT,2025-03-27 21:47:31 CDT,True
2025-03-27,AA4968,GPT,2025-03-27 21:29:00 CDT,2025-03-27 21:46:59 CDT,True
2025-03-27,AA6316,LCH,2025-03-27 21:28:00 CDT,2025-03-27 21:48:38 CDT,True
2025-03-27,AA6313,BPT,2025-03-27 21:27:00 CDT,2025-03-27 21:45:45 CDT,True
2025-03-27,AA3224,TUL,2025-03-27 21:26:00 CDT,2025-03-27 22:10:09 CDT,True
2025-03-27,AA2628,OMA,2025-03-27 21:26:00 CDT,2025-03-27 22:23:24 CDT,True
2025-03-27,QF8,SYD,2025-03-27 21:25:00 CDT,2025-03-27 21:49:55 CDT,True
2025-03-27,AA3420,MTY,2025-03-27 21:25:00 CDT,2025-03-27 21:56:18 CDT,True
2025-03-27,FX1201,MEM,2025-03-27 21:22:00 CDT,2025-03-27 21:07:20 CDT,False
2025-03-27,AA4924,MAF,2025-03-27 21:22:00 CDT,2025-03-27 22:46:40 CDT,True
2025-03-27,AA1455,MSY,2025-03-27 21:22:00 CDT,2025-03-27 22:06:01 CDT,True
2025-03-27,AA788,CID,2025-03-27 21:21:00 CDT,2025-03-27 22:16:47 CDT,True
2025-03-27,AA3283,ELP,2025-03-27 21:20:00 CDT,2025-03-27 21:39:14 CDT,True
2025-03-27,AA2972,MCI,2025-03-27 21:20:00 CDT,2025-03-27 21:44:51 CDT,True
2025-03-27,AA2303,LAX,2025-03-27 21:20:00 CDT,2025-03-27 21:59:07 CDT,True
2025-03-27,AA2721,BHM,2025-03-27 21:20:00 CDT,2025-03-27 21:27:43 CDT,False
2025-03-27,AA5437,HSV,2025-03-27 21:19:00 CDT,2025-03-27 22:15:38 CDT,True
2025-03-27,AA1084,MFE,2025-03-27 21:19:00 CDT,2025-03-27 21:33:48 CDT,False
2025-03-27,AA3549,BTR,2025-03-27 21:17:00 CDT,2025-03-27 21:43:38 CDT,True
2025-03-27,AA3357,GCK,2025-03-27 21:17:00 CDT,2025-03-27 21:57:18 CDT,True
2025-03-27,AA5023,MGM,2025-03-27 21:16:00 CDT,2025-03-27 23:15:33 CDT,True
2025-03-27,AA3412,BRO,2025-03-27 21:15:00 CDT,2025-03-27 21:45:40 CDT,True
2025-03-27,AA1536,SMF,2025-03-27 21:14:00 CDT,2025-03-27 21:46:40 CDT,True
2025-03-27,AA771,ABQ,2025-03-27 21:13:00 CDT,2025-03-27 21:40:01 CDT,True
2025-03-27,AA4173,CRP,2025-03-27 21:11:00 CDT,2025-03-27 21:23:20 CDT,False
2025-03-27,NK596,PHX,2025-03-27 21:10:00 CDT,2025-03-27 22:01:06 CDT,True
2025-03-27,AA2958,FAT,2025-03-27 21:10:00 CDT,2025-03-27 21:38:24 CDT,True
2025-03-27,AA2806,MSP,2025-03-27 21:10:00 CDT,2025-03-27 22:48:15 CDT,True
2025-03-27,AA1500,BNA,2025-03-27 21:10:00 CDT,2025-03-27 21:44:49 CDT,True
2025-03-27,AA861,SLP,2025-03-27 21:10:00 CDT,2025-03-27 21:20:54 CDT,False
2025-03-27,AA542,RDU,2025-03-27 21:10:00 CDT,2025-03-27 21:40:01 CDT,True
2025-03-27,AA348,SNA,2025-03-27 21:10:00 CDT,2025-03-27 21:36:51 CDT,True
2025-03-27,5X765,SDF,2025-03-27 21:08:00 CDT,2025-03-27 21:21:33 CDT,False
2025-03-27,AA4079,LIT,2025-03-27 21:08:00 CDT,2025-03-27 21:33:35 CDT,True
2025-03-27,AA2319,TUS,2025-03-27 21:08:00 CDT,2025-03-27 22:03:59 CDT,True
2025-03-27,AA876,MSN,2025-03-27 21:07:00 CDT,2025-03-27 21:31:26 CDT,True
2025-03-27,AA6296,LAW,2025-03-27 21:05:00 CDT,2025-03-27 21:42:26 CDT,True
2025-03-27,AA6278,TXK,2025-03-27 21:05:00 CDT,2025-03-27 21:32:33 CDT,True
2025-03-27,AA2993,SLC,2025-03-27 21:05:00 CDT,2025-03-27 21:24:24 CDT,True
2025-03-27,AA1821,ONT,2025-03-27 21:05:00 CDT,2025-03-27 21:32:47 CDT,True
2025-03-27,AA641,CMH,2025-03-27 21:05:00 CDT,2025-03-27 21:22:11 CDT,True
2025-03-27,AA5057,MOB,2025-03-27 21:05:00 CDT,2025-03-27 21:19:43 CDT,False
2025-03-27,AA4282,COU,2025-03-27 21:05:00 CDT,2025-03-27 21:20:16 CDT,True
2025-03-27,Y4801,MEX,2025-03-27 21:04:00 CDT,2025-03-27 21:28:52 CDT,True
2025-03-27,AA4887,SHV,2025-03-27 21:00:00 CDT,2025-03-27 21:16:17 CDT,True
2025-03-27,AA2321,RSW,2025-03-27 21:00:00 CDT,2025-03-27 22:07:59 CDT,True
2025-03-27,AA1542,SDF,2025-03-27 21:00:00 CDT,2025-03-27 21:24:44 CDT,True
2025-03-27,AA1336,MCO,2025-03-27 21:00:00 CDT,2025-03-27 21:09:30 CDT,False
2025-03-27,AA1010,STL,2025-03-27 21:00:00 CDT,2025-03-27 23:11:12 CDT,True
2025-03-27,AA945,SCL,2025-03-27 21:00:00 CDT,2025-03-27 21:16:29 CDT,True
2025-03-27,AA6319,GRI,2025-03-27 21:00:00 CDT,2025-03-27 21:34:32 CDT,True
2025-03-27,AA5013,SPS,2025-03-27 21:00:00 CDT,2025-03-27 21:09:28 CDT,False
2025-03-27,AA3483,MLU,2025-03-27 21:00:00 CDT,2025-03-27 21:22:54 CDT,True
2025-03-27,AA2063,GDL,2025-03-27 21:00:00 CDT,2025-03-27 21:58:17 CDT,True
2025-03-27,F93999,SFO,2025-03-27 20:59:00 CDT,2025-03-27 21:27:55 CDT,True
2025-03-27,AA1797,LAS,2025-03-27 20:59:00 CDT,2025-03-27 21:52:08 CDT,True
2025-03-27,AA4092,SGF,2025-03-27 20:58:00 CDT,2025-03-27 21:04:55 CDT,False
2025-03-27,AA1798,SAN,2025-03-27 20:56:00 CDT,2025-03-27 21:15:09 CDT,True
2025-03-27,AA1704,CLT,2025-03-27 20:56:00 CDT,2025-03-27 21:38:56 CDT,True
2025-03-27,AA1458,OKC,2025-03-27 20:56:00 CDT,2025-03-27 21:53:17 CDT,True
2025-03-27,AA3356,DSM,2025-03-27 20:56:00 CDT,2025-03-27 21:10:36 CDT,False
2025-03-27,AA5257,CHA,2025-03-27 20:55:00 CDT,2025-03-27 21:13:01 CDT,True
2025-03-27,AA3795,ABI,2025-03-27 20:55:00 CDT,2025-03-27 21:08:34 CDT,False
2025-03-27,AA2707,AUS,2025-03-27 20:55:00 CDT,2025-03-27 21:58:13 CDT,True
2025-03-27,AA2090,MIA,2025-03-27 20:55:00 CDT,2025-03-27 21:21:12 CDT,True
2025-03-27,AA997,EZE,2025-03-27 20:55:00 CDT,2025-03-27 21:25:27 CDT,True
2025-03-27,AA766,IND,2025-03-27 20:55:00 CDT,2025-03-27 21:38:06 CDT,True
2025-03-27,AA2709,PSP,2025-03-27 20:55:00 CDT,2025-03-27 21:31:53 CDT,True
2025-03-27,AA1360,DCA,2025-03-27 20:55:00 CDT,2025-03-27 21:13:56 CDT,True
2025-03-27,AA1081,TYS,2025-03-27 20:55:00 CDT,2025-03-27 21:10:28 CDT,True
2025-03-27,AA1242,PDX,2025-03-27 20:54:00 CDT,2025-03-27 21:03:36 CDT,False
2025-03-27,AA3504,XNA,2025-03-27 20:54:00 CDT,2025-03-27 21:12:06 CDT,True
2025-03-27,AA3078,DTW,2025-03-27 20:54:00 CDT,2025-03-27 21:35:11 CDT,True
2025-03-27,AA2749,ATL,2025-03-27 20:54:00 CDT,2025-03-27 21:06:26 CDT,False
2025-03-27,AA2452,SFO,2025-03-27 20:54:00 CDT,2025-03-27 21:18:31 CDT,True
2025-03-27,AA577,DEN,2025-03-27 20:53:00 CDT,2025-03-27 21:05:58 CDT,False
2025-03-27,AA2256,TPA,2025-03-27 20:51:00 CDT,2025-03-27 21:51:04 CDT,True
2025-03-27,AA4004,TRC,2025-03-27 20:50:00 CDT,2025-03-27 21:02:29 CDT,False
2025-03-27,AA2003,SEA,2025-03-27 20:50:00 CDT,2025-03-27 21:14:05 CDT,True
2025-03-27,AA1406,SAT,2025-03-27 20:50:00 CDT,2025-03-27 21:00:30 CDT,False
2025-03-27,AA4284,LBB,2025-03-27 20:50:00 CDT,2025-03-27 21:13:03 CDT,True
2025-03-27,AA3873,CAE,2025-03-27 20:50:00 CDT,2025-03-27 21:29:06 CDT,True
2025-03-27,AA2209,IAH,2025-03-27 20:50:00 CDT,2025-03-28 00:15:28 CDT,True
2025-03-27,AA1251,PHX,2025-03-27 20:50:00 CDT,2025-03-27 21:31:01 CDT,True
2025-03-27,5X755,RFD,2025-03-27 20:48:00 CDT,2025-03-27 20:45:11 CDT,False
2025-03-27,AA963,GRU,2025-03-27 20:40:00 CDT,2025-03-27 21:03:13 CDT,True
2025-03-27,F92531,PHX,2025-03-27 20:39:00 CDT,2025-03-27 20:52:49 CDT,False
2025-03-27,AA821,TUL,2025-03-27 20:38:00 CDT,2025-03-27 20:56:16 CDT,True
2025-03-27,SY504,MSP,2025-03-27 20:36:00 CDT,2025-03-27 20:50:56 CDT,False
2025-03-27,AA3541,MAF,2025-03-27 20:35:00 CDT,2025-03-27 20:40:52 CDT,False
